timestamp;[Extract air (AZ30-BT21)][°C][40026];
2025-11-24T19:19:56+00:00;-1.0;
2025-11-24T19:24:09+00:00;-3.0;
2025-11-24T19:25:07+00:00;-3.5;
2025-11-24T19:26:23+00:00;-4.0;
2025-11-24T19:27:54+00:00;-4.5;
2025-11-24T19:29:17+00:00;-5.0;
2025-11-24T19:31:14+00:00;-5.5;
2025-11-24T19:32:38+00:00;-6.0;
2025-11-24T19:34:28+00:00;-6.5;
2025-11-24T19:36:21+00:00;-7.0;
2025-11-24T19:38:34+00:00;-7.5;
2025-11-24T19:40:02+00:00;-8.0;
2025-11-24T19:41:43+00:00;-8.5;
2025-11-24T19:43:30+00:00;-9.0;
2025-11-24T19:45:09+00:00;-9.5;
2025-11-24T19:47:42+00:00;-10.0;
2025-11-24T19:49:37+00:00;-10.5;
2025-11-24T19:51:54+00:00;-11.0;
2025-11-24T19:54:17+00:00;-11.5;
2025-11-24T19:56:16+00:00;-12.0;
2025-11-24T19:58:33+00:00;-12.5;
2025-11-24T20:00:59+00:00;-13.0;
2025-11-24T20:02:27+00:00;-13.5;
2025-11-24T20:05:05+00:00;-14.0;
2025-11-24T20:08:00+00:00;-14.5;
2025-11-24T20:11:59+00:00;-15.0;
2025-11-24T20:21:31+00:00;-14.5;
2025-11-24T20:38:19+00:00;-15.0;
2025-11-24T20:43:57+00:00;-15.0;
2025-11-24T20:43:58+00:00;-0.8;
2025-11-24T20:45:00+00:00;-0.3;
2025-11-24T20:50:21+00:00;-0.3;
2025-11-24T20:50:22+00:00;5.4;
2025-11-24T20:54:48+00:00;-13.2;
2025-11-24T20:56:18+00:00;-13.7;
2025-11-24T21:00:00+00:00;-14.2;
2025-11-24T21:04:56+00:00;-14.7;
2025-11-24T21:08:40+00:00;-15.2;
2025-11-24T21:11:39+00:00;-14.7;
2025-11-24T21:35:43+00:00;-14.2;
2025-11-24T21:43:47+00:00;-13.7;
2025-11-24T21:54:06+00:00;-14.2;
2025-11-24T21:57:19+00:00;-14.7;
2025-11-24T22:00:44+00:00;-14.7;
2025-11-24T22:00:45+00:00;-0.8;
2025-11-24T22:01:30+00:00;-0.3;
2025-11-24T22:06:17+00:00;4.7;
2025-11-24T22:09:14+00:00;-10.4;
2025-11-24T22:11:08+00:00;-11.9;
2025-11-24T22:11:24+00:00;-12.4;
2025-11-24T22:13:11+00:00;-12.9;
2025-11-24T22:14:48+00:00;-13.4;
2025-11-24T22:20:48+00:00;-13.9;
2025-11-24T22:22:56+00:00;-14.4;
2025-11-24T22:25:10+00:00;-14.9;
2025-11-24T22:27:32+00:00;-15.4;
2025-11-24T22:30:08+00:00;-14.9;
2025-11-24T22:43:48+00:00;-14.4;
2025-11-24T22:56:07+00:00;-13.9;
2025-11-24T23:02:54+00:00;-14.4;
2025-11-24T23:11:41+00:00;-14.9;
2025-11-24T23:16:24+00:00;-14.9;
2025-11-24T23:16:25+00:00;-0.9;
2025-11-24T23:17:16+00:00;-0.4;
2025-11-24T23:22:13+00:00;1.3;
2025-11-24T23:27:08+00:00;-13.1;
2025-11-24T23:29:23+00:00;-14.1;
2025-11-24T23:33:37+00:00;-14.6;
2025-11-24T23:37:10+00:00;-14.6;
2025-11-24T23:39:05+00:00;-15.1;
2025-11-25T00:12:43+00:00;-14.6;
2025-11-25T00:35:31+00:00;-14.6;
2025-11-25T00:35:32+00:00;-0.7;
2025-11-25T00:36:53+00:00;-0.2;
2025-11-25T00:42:10+00:00;-5.6;
2025-11-25T00:46:16+00:00;-12.8;
2025-11-25T00:48:33+00:00;-13.8;
2025-11-25T00:52:18+00:00;-14.3;
2025-11-25T00:57:38+00:00;-15.3;
2025-11-25T00:58:18+00:00;-15.8;
2025-11-25T01:01:06+00:00;-14.8;
2025-11-25T01:27:16+00:00;-14.3;
2025-11-25T01:28:56+00:00;-13.8;
2025-11-25T01:36:13+00:00;-13.3;
2025-11-25T01:47:07+00:00;-12.8;
2025-11-25T01:52:32+00:00;-13.3;
2025-11-25T01:56:17+00:00;-13.8;
2025-11-25T02:01:07+00:00;-14.3;
2025-11-25T02:03:30+00:00;-14.3;
2025-11-25T02:03:31+00:00;-6.0;
2025-11-25T02:04:37+00:00;-6.0;
2025-11-25T02:04:38+00:00;-0.7;
2025-11-25T02:08:33+00:00;-0.7;
2025-11-25T02:08:34+00:00;12.3;
2025-11-25T02:13:18+00:00;-9.6;
2025-11-25T02:15:58+00:00;-12.1;
2025-11-25T02:17:47+00:00;-12.6;
2025-11-25T02:23:44+00:00;-13.1;
2025-11-25T02:27:42+00:00;-15.6;
2025-11-25T02:30:36+00:00;-14.6;
2025-11-25T02:54:49+00:00;-14.1;
2025-11-25T03:01:55+00:00;-13.6;
2025-11-25T03:10:12+00:00;-13.1;
2025-11-25T03:16:14+00:00;-13.6;
2025-11-25T03:19:54+00:00;-14.1;
2025-11-25T03:26:47+00:00;-14.1;
2025-11-25T03:26:48+00:00;-0.7;
2025-11-25T03:28:23+00:00;-0.2;
2025-11-25T03:33:31+00:00;-4.0;
2025-11-25T03:37:51+00:00;-12.3;
2025-11-25T03:39:56+00:00;-12.8;
2025-11-25T03:44:20+00:00;-13.3;
2025-11-25T03:48:33+00:00;-14.3;
2025-11-25T03:49:35+00:00;-15.3;
2025-11-25T03:50:46+00:00;-15.8;
2025-11-25T03:51:50+00:00;-15.3;
2025-11-25T03:52:51+00:00;-14.8;
2025-11-25T04:02:45+00:00;-12.8;
2025-11-25T04:03:55+00:00;-12.3;
2025-11-25T04:06:55+00:00;-10.8;
2025-11-25T04:08:46+00:00;-10.3;
2025-11-25T04:09:56+00:00;-9.8;
2025-11-25T04:11:14+00:00;-9.3;
2025-11-25T04:13:16+00:00;-8.8;
2025-11-25T04:14:34+00:00;-9.3;
2025-11-25T04:17:20+00:00;-11.3;
2025-11-25T04:18:40+00:00;-11.8;
2025-11-25T04:22:44+00:00;-15.3;
2025-11-25T04:31:03+00:00;-15.8;
2025-11-25T04:33:34+00:00;-14.8;
2025-11-25T04:35:26+00:00;-14.3;
2025-11-25T04:50:18+00:00;-14.8;
2025-11-25T04:53:17+00:00;-14.8;
2025-11-25T04:53:18+00:00;-0.7;
2025-11-25T04:54:52+00:00;-0.2;
2025-11-25T04:59:55+00:00;-2.8;
2025-11-25T05:03:59+00:00;-12.4;
2025-11-25T05:06:22+00:00;-12.9;
2025-11-25T05:09:40+00:00;-13.4;
2025-11-25T05:14:49+00:00;-14.4;
2025-11-25T05:16:35+00:00;-15.9;
2025-11-25T05:18:35+00:00;-15.4;
2025-11-25T05:19:43+00:00;-14.9;
2025-11-25T05:21:15+00:00;-14.4;
2025-11-25T05:28:44+00:00;-14.9;
2025-11-25T05:40:19+00:00;-14.4;
2025-11-25T05:47:45+00:00;-13.9;
2025-11-25T06:04:14+00:00;-14.4;
2025-11-25T06:09:49+00:00;-14.4;
2025-11-25T06:09:50+00:00;6.3;
2025-11-25T06:11:31+00:00;6.3;
2025-11-25T06:11:32+00:00;17.2;
2025-11-25T06:14:51+00:00;-2.6;
2025-11-25T06:17:29+00:00;-9.7;
2025-11-25T06:17:59+00:00;-10.2;
2025-11-25T06:18:23+00:00;-10.7;
Tue Nov 25 2025 07:19:32 GMT+0100 (Central European Standard Time);-10.7;
