timestamp;[Return line (BT3)][°C][40012];
2025-11-24T12:19:42+00:00;30.3;
2025-11-24T12:33:30+00:00;29.8;
2025-11-24T12:52:06+00:00;29.3;
2025-11-24T14:02:09+00:00;29.3;
2025-11-24T14:02:10+00:00;46.0;
2025-11-24T14:03:01+00:00;46.5;
2025-11-24T14:04:20+00:00;47.0;
2025-11-24T14:05:40+00:00;47.5;
2025-11-24T14:07:04+00:00;48.0;
2025-11-24T14:08:24+00:00;48.5;
2025-11-24T14:09:30+00:00;49.0;
2025-11-24T14:10:51+00:00;49.5;
2025-11-24T14:12:16+00:00;50.0;
2025-11-24T14:14:27+00:00;28.9;
2025-11-24T14:18:30+00:00;28.4;
2025-11-24T14:20:02+00:00;27.9;
2025-11-24T14:22:58+00:00;27.9;
2025-11-24T14:22:59+00:00;41.4;
2025-11-24T14:25:10+00:00;41.4;
2025-11-24T14:25:11+00:00;49.9;
2025-11-24T14:26:16+00:00;50.4;
2025-11-24T14:28:02+00:00;50.9;
2025-11-24T14:29:18+00:00;51.4;
2025-11-24T14:31:01+00:00;51.9;
2025-11-24T14:32:50+00:00;52.4;
2025-11-24T14:34:33+00:00;52.9;
2025-11-24T14:38:04+00:00;27.0;
2025-11-24T14:39:19+00:00;27.0;
2025-11-24T14:47:52+00:00;27.5;
2025-11-24T14:52:10+00:00;28.0;
2025-11-24T14:56:23+00:00;28.5;
2025-11-24T15:00:57+00:00;29.0;
2025-11-24T15:05:22+00:00;29.5;
2025-11-24T15:09:23+00:00;30.0;
2025-11-24T15:14:27+00:00;30.5;
2025-11-24T15:20:26+00:00;31.0;
2025-11-24T15:22:35+00:00;30.5;
2025-11-24T15:34:14+00:00;31.0;
2025-11-24T15:52:16+00:00;31.5;
2025-11-24T16:17:20+00:00;31.0;
2025-11-24T16:18:46+00:00;30.5;
2025-11-24T16:20:28+00:00;30.0;
2025-11-24T16:22:05+00:00;29.5;
2025-11-24T16:23:40+00:00;29.0;
2025-11-24T16:29:37+00:00;29.5;
2025-11-24T16:54:22+00:00;29.0;
2025-11-24T16:56:24+00:00;28.5;
2025-11-24T16:58:21+00:00;28.5;
2025-11-24T16:58:22+00:00;33.7;
2025-11-24T17:03:39+00:00;28.2;
2025-11-24T17:05:59+00:00;26.7;
2025-11-24T17:08:15+00:00;27.2;
2025-11-24T17:09:40+00:00;27.7;
2025-11-24T17:10:58+00:00;28.2;
2025-11-24T17:12:38+00:00;28.7;
2025-11-24T17:13:43+00:00;29.2;
2025-11-24T17:17:10+00:00;28.7;
2025-11-24T17:19:05+00:00;29.2;
2025-11-24T17:21:04+00:00;30.2;
2025-11-24T17:24:19+00:00;30.2;
2025-11-24T17:29:02+00:00;25.2;
2025-11-24T17:29:40+00:00;24.7;
2025-11-24T17:32:27+00:00;25.2;
2025-11-24T17:35:12+00:00;25.7;
2025-11-24T17:36:45+00:00;26.7;
2025-11-24T17:38:41+00:00;27.2;
2025-11-24T17:40:48+00:00;28.2;
2025-11-24T17:42:57+00:00;29.2;
2025-11-24T17:44:08+00:00;29.7;
2025-11-24T17:48:50+00:00;26.7;
2025-11-24T17:49:24+00:00;26.2;
2025-11-24T17:51:04+00:00;26.7;
2025-11-24T17:52:16+00:00;27.2;
2025-11-24T17:53:21+00:00;27.7;
2025-11-24T17:54:31+00:00;28.2;
2025-11-24T17:55:40+00:00;28.7;
2025-11-24T17:56:50+00:00;29.2;
2025-11-24T17:57:52+00:00;29.7;
2025-11-24T17:59:56+00:00;30.7;
2025-11-24T18:01:59+00:00;31.7;
2025-11-24T18:04:02+00:00;32.7;
2025-11-24T18:05:28+00:00;23.3;
2025-11-24T18:13:06+00:00;23.3;
2025-11-24T18:13:07+00:00;35.5;
2025-11-24T18:15:26+00:00;36.0;
2025-11-24T18:17:10+00:00;36.5;
2025-11-24T18:19:00+00:00;37.5;
2025-11-24T18:20:58+00:00;38.5;
2025-11-24T18:22:13+00:00;39.0;
2025-11-24T18:24:08+00:00;40.0;
2025-11-24T18:25:01+00:00;40.5;
2025-11-24T18:26:02+00:00;41.0;
2025-11-24T18:28:04+00:00;42.0;
2025-11-24T18:30:22+00:00;43.0;
2025-11-24T18:31:26+00:00;43.5;
2025-11-24T18:33:32+00:00;44.5;
2025-11-24T18:34:36+00:00;45.0;
2025-11-24T18:35:37+00:00;45.5;
2025-11-24T18:36:47+00:00;46.0;
2025-11-24T18:37:48+00:00;46.5;
2025-11-24T18:38:58+00:00;47.0;
2025-11-24T18:40:13+00:00;47.5;
2025-11-24T18:41:15+00:00;48.0;
2025-11-24T18:43:27+00:00;49.0;
2025-11-24T18:44:41+00:00;49.5;
2025-11-24T18:46:29+00:00;50.0;
2025-11-24T18:48:08+00:00;50.5;
2025-11-24T18:50:13+00:00;51.0;
2025-11-24T18:51:41+00:00;51.5;
2025-11-24T18:53:56+00:00;52.0;
2025-11-24T18:56:01+00:00;52.5;
2025-11-24T18:58:01+00:00;53.0;
2025-11-24T18:59:50+00:00;31.4;
2025-11-24T19:02:13+00:00;23.8;
2025-11-24T19:12:02+00:00;24.3;
2025-11-24T19:19:43+00:00;24.8;
2025-11-24T19:26:24+00:00;25.3;
2025-11-24T19:31:41+00:00;25.8;
2025-11-24T19:36:16+00:00;26.3;
2025-11-24T19:40:35+00:00;26.8;
2025-11-24T19:44:58+00:00;27.3;
2025-11-24T19:49:46+00:00;27.8;
2025-11-24T19:54:39+00:00;28.3;
2025-11-24T19:59:35+00:00;28.8;
2025-11-24T20:04:43+00:00;29.3;
2025-11-24T20:11:17+00:00;29.8;
2025-11-24T20:16:34+00:00;30.3;
2025-11-24T20:22:42+00:00;30.8;
2025-11-24T20:30:02+00:00;31.3;
2025-11-24T20:39:23+00:00;31.8;
2025-11-24T20:45:57+00:00;31.3;
2025-11-24T20:47:25+00:00;30.8;
2025-11-24T20:48:55+00:00;30.3;
2025-11-24T20:50:04+00:00;29.8;
2025-11-24T20:57:33+00:00;30.3;
2025-11-24T21:02:54+00:00;30.8;
