timestamp;[Dis­charge (BT14)][°C][40018];
2025-11-24T11:41:37+00:00;84.1;
2025-11-24T11:43:10+00:00;83.6;
2025-11-24T11:44:19+00:00;83.1;
2025-11-24T11:45:55+00:00;82.6;
2025-11-24T11:48:21+00:00;81.6;
2025-11-24T11:49:50+00:00;81.1;
2025-11-24T11:51:13+00:00;80.6;
2025-11-24T11:52:12+00:00;80.1;
2025-11-24T11:53:32+00:00;79.6;
2025-11-24T11:54:46+00:00;79.1;
2025-11-24T11:55:57+00:00;78.6;
2025-11-24T11:56:48+00:00;78.1;
2025-11-24T11:58:07+00:00;77.6;
2025-11-24T11:59:39+00:00;77.1;
2025-11-24T12:01:00+00:00;76.6;
2025-11-24T12:02:17+00:00;76.1;
2025-11-24T12:03:49+00:00;75.6;
2025-11-24T12:05:23+00:00;75.1;
2025-11-24T12:06:58+00:00;74.6;
2025-11-24T12:08:56+00:00;74.1;
2025-11-24T12:10:37+00:00;73.6;
2025-11-24T12:12:10+00:00;73.1;
2025-11-24T12:13:48+00:00;72.6;
2025-11-24T12:16:12+00:00;72.1;
2025-11-24T12:17:59+00:00;71.6;
2025-11-24T12:20:00+00:00;71.1;
2025-11-24T12:22:40+00:00;70.6;
2025-11-24T12:24:40+00:00;70.1;
2025-11-24T12:27:13+00:00;69.6;
2025-11-24T12:30:31+00:00;69.1;
2025-11-24T12:34:37+00:00;68.6;
2025-11-24T12:38:00+00:00;68.1;
2025-11-24T12:43:23+00:00;67.6;
2025-11-24T12:51:18+00:00;67.1;
2025-11-24T13:14:22+00:00;67.6;
2025-11-24T13:18:54+00:00;68.1;
2025-11-24T13:25:14+00:00;68.6;
2025-11-24T13:29:05+00:00;69.1;
2025-11-24T13:34:01+00:00;69.6;
2025-11-24T13:38:12+00:00;70.1;
2025-11-24T13:43:05+00:00;70.6;
2025-11-24T13:46:59+00:00;71.1;
2025-11-24T13:51:02+00:00;71.6;
2025-11-24T13:58:44+00:00;72.1;
2025-11-24T14:02:48+00:00;72.1;
2025-11-24T14:02:49+00:00;85.1;
2025-11-24T14:07:46+00:00;85.1;
2025-11-24T14:07:47+00:00;100.2;
2025-11-24T14:12:26+00:00;100.2;
2025-11-24T14:12:27+00:00;107.2;
2025-11-24T14:17:58+00:00;67.2;
2025-11-24T14:23:00+00:00;67.2;
2025-11-24T14:23:01+00:00;78.3;
2025-11-24T14:27:41+00:00;78.3;
2025-11-24T14:27:42+00:00;103.5;
2025-11-24T14:32:44+00:00;103.5;
2025-11-24T14:32:45+00:00;110.0;
2025-11-24T14:33:27+00:00;110.5;
2025-11-24T14:35:15+00:00;111.0;
2025-11-24T14:38:03+00:00;106.9;
2025-11-24T14:43:03+00:00;89.1;
2025-11-24T14:47:13+00:00;80.6;
2025-11-24T14:47:23+00:00;81.1;
2025-11-24T14:50:36+00:00;77.6;
2025-11-24T14:51:40+00:00;77.1;
2025-11-24T14:53:45+00:00;76.6;
2025-11-24T15:00:47+00:00;77.1;
2025-11-24T15:03:08+00:00;77.6;
2025-11-24T15:05:09+00:00;78.1;
2025-11-24T15:07:05+00:00;78.6;
2025-11-24T15:09:28+00:00;79.1;
2025-11-24T15:11:17+00:00;79.6;
2025-11-24T15:14:07+00:00;80.1;
2025-11-24T15:17:24+00:00;80.6;
2025-11-24T15:21:27+00:00;81.1;
2025-11-24T15:52:01+00:00;80.6;
2025-11-24T15:57:44+00:00;80.1;
2025-11-24T16:03:24+00:00;79.6;
2025-11-24T16:08:07+00:00;79.1;
2025-11-24T16:12:01+00:00;78.6;
2025-11-24T16:18:20+00:00;65.1;
2025-11-24T16:23:17+00:00;65.1;
2025-11-24T16:23:18+00:00;71.2;
2025-11-24T16:24:37+00:00;71.7;
2025-11-24T16:31:46+00:00;71.2;
2025-11-24T16:34:12+00:00;70.7;
2025-11-24T16:36:17+00:00;70.2;
2025-11-24T16:38:57+00:00;69.7;
2025-11-24T16:40:52+00:00;69.2;
2025-11-24T16:43:32+00:00;68.7;
2025-11-24T16:45:30+00:00;68.2;
2025-11-24T16:47:52+00:00;67.7;
2025-11-24T16:49:39+00:00;67.2;
2025-11-24T16:54:07+00:00;58.2;
2025-11-24T16:59:04+00:00;58.2;
2025-11-24T16:59:05+00:00;66.9;
2025-11-24T17:04:13+00:00;66.9;
2025-11-24T17:04:14+00:00;79.9;
2025-11-24T17:09:02+00:00;79.9;
2025-11-24T17:09:03+00:00;90.4;
2025-11-24T17:14:11+00:00;95.4;
2025-11-24T17:15:00+00:00;95.9;
2025-11-24T17:16:23+00:00;96.4;
2025-11-24T17:18:39+00:00;97.4;
2025-11-24T17:20:06+00:00;97.9;
2025-11-24T17:21:42+00:00;98.4;
2025-11-24T17:23:26+00:00;98.9;
2025-11-24T17:27:50+00:00;98.4;
2025-11-24T17:29:07+00:00;97.9;
2025-11-24T17:29:41+00:00;97.4;
2025-11-24T17:34:23+00:00;97.9;
2025-11-24T17:36:54+00:00;98.4;
2025-11-24T17:39:27+00:00;98.9;
2025-11-24T17:41:52+00:00;99.4;
2025-11-24T17:46:21+00:00;99.9;
2025-11-24T17:47:57+00:00;99.4;
2025-11-24T17:49:33+00:00;98.9;
2025-11-24T17:50:55+00:00;98.4;
2025-11-24T18:01:25+00:00;98.9;
2025-11-24T18:04:02+00:00;96.3;
2025-11-24T18:09:04+00:00;76.6;
2025-11-24T18:12:36+00:00;76.6;
2025-11-24T18:12:37+00:00;88.1;
2025-11-24T18:13:37+00:00;88.6;
2025-11-24T18:18:47+00:00;88.6;
2025-11-24T18:18:48+00:00;95.1;
2025-11-24T18:24:11+00:00;100.1;
2025-11-24T18:24:41+00:00;100.6;
2025-11-24T18:26:28+00:00;101.6;
2025-11-24T18:27:54+00:00;102.1;
2025-11-24T18:29:11+00:00;102.6;
2025-11-24T18:30:05+00:00;103.1;
2025-11-24T18:32:39+00:00;104.1;
2025-11-24T18:36:20+00:00;105.6;
2025-11-24T18:39:11+00:00;106.6;
2025-11-24T18:42:56+00:00;108.1;
2025-11-24T18:44:42+00:00;108.6;
2025-11-24T18:47:05+00:00;109.6;
2025-11-24T18:48:05+00:00;110.1;
2025-11-24T18:59:49+00:00;107.4;
2025-11-24T19:04:49+00:00;92.9;
2025-11-24T19:09:53+00:00;80.4;
2025-11-24T19:14:38+00:00;72.4;
2025-11-24T19:19:36+00:00;67.4;
2025-11-24T19:21:01+00:00;66.4;
2025-11-24T19:22:08+00:00;65.9;
2025-11-24T19:23:39+00:00;65.4;
2025-11-24T19:31:24+00:00;65.9;
2025-11-24T19:33:05+00:00;66.4;
2025-11-24T19:34:14+00:00;66.9;
2025-11-24T19:37:11+00:00;68.4;
2025-11-24T19:38:31+00:00;68.9;
2025-11-24T19:39:34+00:00;69.4;
2025-11-24T19:41:50+00:00;70.4;
2025-11-24T19:44:52+00:00;71.9;
2025-11-24T19:49:01+00:00;73.9;
2025-11-24T19:50:13+00:00;74.4;
2025-11-24T19:55:18+00:00;77.4;
2025-11-24T19:59:53+00:00;80.4;
2025-11-24T20:04:53+00:00;83.9;
2025-11-24T20:10:27+00:00;87.9;
2025-11-24T20:15:18+00:00;91.4;
2025-11-24T20:16:29+00:00;91.9;
2025-11-24T20:19:11+00:00;92.4;
2025-11-24T20:21:37+00:00;92.9;
2025-11-24T20:23:44+00:00;93.4;
2025-11-24T20:28:55+00:00;93.9;
2025-11-24T20:35:19+00:00;94.4;
2025-11-24T20:40:43+00:00;94.9;
2025-11-24T20:45:24+00:00;76.5;
2025-11-24T20:45:27+00:00;78.5;
2025-11-24T20:50:23+00:00;80.8;
2025-11-24T20:54:56+00:00;80.8;
2025-11-24T20:54:57+00:00;88.9;
2025-11-24T20:58:04+00:00;90.9;
2025-11-24T20:59:10+00:00;91.4;
2025-11-24T21:00:27+00:00;91.9;
2025-11-24T21:02:46+00:00;92.4;
2025-11-24T21:05:08+00:00;92.9;
2025-11-24T21:06:18+00:00;93.4;
2025-11-24T21:07:58+00:00;93.9;
2025-11-24T21:09:15+00:00;94.4;
2025-11-24T21:28:49+00:00;94.9;
2025-11-24T21:46:47+00:00;95.4;
2025-11-24T22:01:11+00:00;83.5;
2025-11-24T22:06:15+00:00;85.0;
2025-11-24T22:07:45+00:00;87.6;
2025-11-24T22:10:47+00:00;89.6;
2025-11-24T22:13:15+00:00;91.1;
2025-11-24T22:14:24+00:00;91.6;
2025-11-24T22:15:33+00:00;92.1;
2025-11-24T22:17:08+00:00;92.6;
2025-11-24T22:19:00+00:00;93.1;
2025-11-24T22:21:21+00:00;93.6;
2025-11-24T22:23:13+00:00;94.1;
2025-11-24T22:24:40+00:00;94.6;
2025-11-24T22:25:51+00:00;95.1;
2025-11-24T22:26:50+00:00;95.6;
2025-11-24T22:27:53+00:00;96.1;
2025-11-24T22:44:04+00:00;96.6;
2025-11-24T22:51:18+00:00;97.1;
2025-11-24T23:07:33+00:00;97.6;
2025-11-24T23:09:55+00:00;98.1;
2025-11-24T23:17:08+00:00;84.2;
2025-11-24T23:20:07+00:00;69.4;
2025-11-24T23:22:09+00:00;69.4;
2025-11-24T23:22:10+00:00;87.5;
2025-11-24T23:23:18+00:00;89.0;
2025-11-24T23:25:28+00:00;90.5;
2025-11-24T23:26:38+00:00;91.0;
2025-11-24T23:28:08+00:00;92.0;
2025-11-24T23:29:14+00:00;92.5;
2025-11-24T23:30:23+00:00;93.0;
2025-11-24T23:31:39+00:00;93.5;
2025-11-24T23:33:15+00:00;94.0;
2025-11-24T23:35:12+00:00;94.5;
2025-11-24T23:37:42+00:00;95.0;
2025-11-24T23:39:13+00:00;95.5;
2025-11-24T23:55:13+00:00;96.0;
2025-11-25T00:03:19+00:00;96.5;
2025-11-25T00:21:10+00:00;97.0;
2025-11-25T00:37:04+00:00;80.6;
2025-11-25T00:42:10+00:00;80.6;
2025-11-25T00:42:11+00:00;88.1;
2025-11-25T00:44:33+00:00;89.6;
2025-11-25T00:47:12+00:00;91.1;
2025-11-25T00:48:17+00:00;91.6;
2025-11-25T00:49:23+00:00;92.1;
2025-11-25T00:50:42+00:00;92.6;
2025-11-25T00:52:28+00:00;93.1;
2025-11-25T00:54:15+00:00;93.6;
2025-11-25T00:57:27+00:00;94.6;
2025-11-25T00:58:37+00:00;95.6;
2025-11-25T00:59:51+00:00;96.1;
2025-11-25T01:03:09+00:00;95.6;
2025-11-25T01:07:31+00:00;95.1;
2025-11-25T01:19:34+00:00;95.6;
2025-11-25T01:28:27+00:00;96.1;
2025-11-25T01:49:10+00:00;96.6;
2025-11-25T01:53:09+00:00;97.1;
2025-11-25T01:59:14+00:00;97.6;
2025-11-25T02:03:29+00:00;93.1;
2025-11-25T02:08:14+00:00;69.9;
2025-11-25T02:11:16+00:00;69.9;
2025-11-25T02:11:17+00:00;89.5;
2025-11-25T02:13:06+00:00;90.5;
2025-11-25T02:13:39+00:00;91.0;
2025-11-25T02:16:08+00:00;92.5;
2025-11-25T02:17:09+00:00;93.0;
2025-11-25T02:18:16+00:00;93.5;
2025-11-25T02:19:32+00:00;94.0;
2025-11-25T02:21:09+00:00;94.5;
2025-11-25T02:23:00+00:00;95.0;
2025-11-25T02:28:17+00:00;99.0;
2025-11-25T02:29:53+00:00;100.0;
2025-11-25T02:40:05+00:00;100.5;
2025-11-25T02:45:25+00:00;101.0;
2025-11-25T02:49:37+00:00;101.5;
2025-11-25T03:06:46+00:00;102.0;
2025-11-25T03:18:59+00:00;102.5;
2025-11-25T03:28:30+00:00;83.0;
2025-11-25T03:30:01+00:00;72.5;
2025-11-25T03:33:29+00:00;72.5;
2025-11-25T03:33:30+00:00;93.6;
2025-11-25T03:38:11+00:00;96.6;
2025-11-25T03:38:43+00:00;97.1;
2025-11-25T03:39:54+00:00;97.6;
2025-11-25T03:41:14+00:00;98.1;
2025-11-25T03:43:14+00:00;98.6;
2025-11-25T03:44:25+00:00;99.1;
2025-11-25T03:46:49+00:00;99.6;
2025-11-25T03:48:30+00:00;100.6;
2025-11-25T03:51:38+00:00;103.6;
2025-11-25T04:04:02+00:00;103.6;
2025-11-25T04:04:03+00:00;109.6;
2025-11-25T04:08:06+00:00;112.6;
2025-11-25T04:10:43+00:00;113.1;
2025-11-25T04:12:08+00:00;113.7;
2025-11-25T04:19:00+00:00;99.2;
2025-11-25T04:20:14+00:00;97.7;
2025-11-25T04:23:26+00:00;98.2;
2025-11-25T04:24:51+00:00;98.7;
2025-11-25T04:26:28+00:00;99.2;
2025-11-25T04:27:38+00:00;99.7;
2025-11-25T04:31:50+00:00;101.7;
2025-11-25T04:38:08+00:00;101.2;
2025-11-25T04:49:09+00:00;101.7;
2025-11-25T04:54:48+00:00;83.6;
2025-11-25T04:59:38+00:00;83.6;
2025-11-25T04:59:39+00:00;92.8;
2025-11-25T05:00:02+00:00;93.3;
2025-11-25T05:04:46+00:00;96.8;
2025-11-25T05:06:44+00:00;97.8;
2025-11-25T05:08:43+00:00;98.8;
2025-11-25T05:10:13+00:00;99.3;
2025-11-25T05:11:52+00:00;99.8;
2025-11-25T05:12:59+00:00;100.3;
2025-11-25T05:14:42+00:00;101.3;
2025-11-25T05:17:05+00:00;103.8;
2025-11-25T05:18:10+00:00;104.3;
2025-11-25T05:24:41+00:00;103.8;
2025-11-25T06:09:45+00:00;85.2;
2025-11-25T06:14:34+00:00;85.2;
2025-11-25T06:14:35+00:00;93.3;
2025-11-25T06:14:59+00:00;93.8;
2025-11-25T06:17:53+00:00;95.3;
Tue Nov 25 2025 07:19:18 GMT+0100 (Central European Standard Time);95.3;
