timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-05T17:01:58+00:00;90;
2025-11-05T17:40:16+00:00;80;
2025-11-05T17:43:59+00:00;0;
2025-11-05T18:56:37+00:00;0;
2025-11-05T18:56:38+00:00;88;
2025-11-05T19:01:41+00:00;38;
2025-11-05T19:01:59+00:00;0;
2025-11-05T23:27:05+00:00;0;
2025-11-05T23:27:06+00:00;21;
2025-11-05T23:28:06+00:00;22;
2025-11-05T23:31:06+00:00;25;
2025-11-05T23:33:07+00:00;27;
2025-11-05T23:34:06+00:00;28;
2025-11-05T23:37:06+00:00;31;
2025-11-05T23:40:06+00:00;34;
2025-11-05T23:41:06+00:00;35;
2025-11-05T23:42:06+00:00;36;
2025-11-05T23:44:06+00:00;38;
2025-11-05T23:45:06+00:00;39;
2025-11-05T23:49:06+00:00;43;
2025-11-05T23:52:06+00:00;46;
2025-11-05T23:53:07+00:00;47;
2025-11-05T23:55:06+00:00;49;
2025-11-05T23:56:06+00:00;50;
2025-11-05T23:59:05+00:00;53;
2025-11-06T00:00:06+00:00;54;
2025-11-06T00:02:06+00:00;56;
2025-11-06T00:03:39+00:00;58;
2025-11-06T00:06:27+00:00;60;
2025-11-06T00:08:27+00:00;62;
2025-11-06T00:11:27+00:00;65;
2025-11-06T00:13:27+00:00;67;
2025-11-06T00:15:27+00:00;69;
2025-11-06T00:16:27+00:00;70;
2025-11-06T00:19:27+00:00;73;
2025-11-06T00:21:27+00:00;75;
2025-11-06T00:23:27+00:00;77;
2025-11-06T00:25:27+00:00;79;
2025-11-06T00:29:27+00:00;82;
2025-11-06T00:32:27+00:00;85;
2025-11-06T00:33:27+00:00;86;
2025-11-06T00:36:27+00:00;88;
2025-11-06T00:43:27+00:00;90;
2025-11-06T00:44:28+00:00;89;
2025-11-06T00:47:28+00:00;88;
2025-11-06T00:49:27+00:00;90;
2025-11-06T00:52:27+00:00;92;
2025-11-06T00:56:27+00:00;95;
2025-11-06T00:58:34+00:00;0;
2025-11-06T01:06:47+00:00;0;
2025-11-06T01:06:48+00:00;98;
2025-11-06T01:07:48+00:00;99;
2025-11-06T01:09:48+00:00;101;
2025-11-06T01:12:48+00:00;103;
2025-11-06T01:15:48+00:00;106;
2025-11-06T01:18:22+00:00;108;
2025-11-06T01:20:48+00:00;106;
2025-11-06T01:22:47+00:00;104;
2025-11-06T01:24:47+00:00;103;
2025-11-06T01:26:47+00:00;100;
2025-11-06T01:27:47+00:00;100;
2025-11-06T01:30:47+00:00;96;
2025-11-06T01:32:47+00:00;94;
2025-11-06T01:34:47+00:00;93;
2025-11-06T01:37:09+00:00;0;
2025-11-06T03:17:29+00:00;0;
2025-11-06T03:17:30+00:00;56;
2025-11-06T03:25:30+00:00;55;
2025-11-06T03:29:29+00:00;53;
2025-11-06T03:31:29+00:00;52;
