timestamp;[Supply line (BT2)][°C][40008];
2025-11-07T18:14:46+00:00;22.1;
2025-11-07T18:24:27+00:00;22.1;
2025-11-07T18:24:28+00:00;49.3;
2025-11-07T18:27:53+00:00;52.8;
2025-11-07T18:37:34+00:00;54.3;
2025-11-07T18:39:50+00:00;55.3;
2025-11-07T18:44:45+00:00;25.6;
2025-11-07T18:45:04+00:00;26.1;
2025-11-07T18:58:24+00:00;26.6;
2025-11-07T19:06:03+00:00;27.6;
2025-11-07T19:18:49+00:00;27.6;
2025-11-07T19:23:38+00:00;28.1;
2025-11-07T19:50:05+00:00;29.1;
2025-11-07T20:02:48+00:00;30.1;
2025-11-07T20:06:31+00:00;29.1;
2025-11-07T20:12:58+00:00;30.1;
2025-11-07T20:36:14+00:00;30.6;
2025-11-07T20:51:17+00:00;30.1;
2025-11-07T21:10:25+00:00;31.1;
2025-11-07T21:16:46+00:00;31.6;
2025-11-07T21:34:34+00:00;30.6;
2025-11-07T21:40:12+00:00;31.1;
2025-11-07T22:56:04+00:00;29.6;
2025-11-07T23:02:48+00:00;30.1;
2025-11-07T23:27:45+00:00;30.1;
2025-11-08T00:10:24+00:00;28.6;
2025-11-08T00:15:02+00:00;27.6;
2025-11-08T00:18:27+00:00;27.1;
2025-11-08T00:27:43+00:00;26.1;
2025-11-08T00:37:47+00:00;25.1;
2025-11-08T00:56:34+00:00;24.1;
2025-11-08T01:12:05+00:00;23.6;
2025-11-08T01:29:43+00:00;25.1;
2025-11-08T01:41:01+00:00;26.6;
2025-11-08T01:44:00+00:00;27.1;
2025-11-08T01:48:48+00:00;28.1;
2025-11-08T01:56:53+00:00;28.1;
2025-11-08T02:00:12+00:00;29.1;
2025-11-08T02:09:22+00:00;29.6;
2025-11-08T02:17:13+00:00;30.6;
2025-11-08T02:27:02+00:00;31.6;
2025-11-08T02:39:03+00:00;31.1;
2025-11-08T03:22:46+00:00;30.1;
2025-11-08T04:06:28+00:00;30.1;
2025-11-08T04:06:29+00:00;52.7;
2025-11-08T04:10:04+00:00;53.7;
2025-11-08T04:13:11+00:00;54.7;
2025-11-08T04:16:25+00:00;55.7;
2025-11-08T04:19:42+00:00;29.0;
2025-11-08T04:32:01+00:00;30.0;
2025-11-08T05:28:55+00:00;30.0;
2025-11-08T06:54:53+00:00;30.0;
2025-11-08T06:54:54+00:00;39.6;
2025-11-08T07:00:00+00:00;39.6;
2025-11-08T07:00:01+00:00;50.6;
2025-11-08T07:03:33+00:00;53.1;
2025-11-08T07:17:38+00:00;53.6;
2025-11-08T07:27:49+00:00;55.1;
2025-11-08T07:32:03+00:00;27.5;
2025-11-08T07:33:31+00:00;28.0;
2025-11-08T07:53:12+00:00;29.0;
2025-11-08T08:11:41+00:00;29.5;
2025-11-08T08:24:34+00:00;29.5;
2025-11-08T08:24:35+00:00;52.5;
2025-11-08T08:31:11+00:00;54.0;
2025-11-08T08:35:01+00:00;44.3;
2025-11-08T08:36:35+00:00;28.8;
2025-11-08T08:50:17+00:00;28.3;
2025-11-08T08:51:58+00:00;27.3;
2025-11-08T08:59:54+00:00;26.3;
2025-11-08T09:19:14+00:00;24.8;
2025-11-08T09:39:54+00:00;23.8;
2025-11-08T10:00:43+00:00;23.3;
2025-11-08T11:18:33+00:00;22.3;
2025-11-08T13:15:43+00:00;21.8;
2025-11-08T14:07:11+00:00;21.8;
2025-11-08T14:07:12+00:00;46.3;
2025-11-08T14:12:32+00:00;46.3;
2025-11-08T14:12:33+00:00;52.8;
2025-11-08T14:28:14+00:00;53.8;
2025-11-08T14:32:31+00:00;54.8;
2025-11-08T14:34:24+00:00;55.3;
2025-11-08T14:38:27+00:00;22.7;
2025-11-08T15:06:31+00:00;22.2;
2025-11-08T16:04:37+00:00;21.7;
2025-11-08T17:08:28+00:00;21.7;
2025-11-08T17:08:29+00:00;50.4;
2025-11-08T17:11:48+00:00;52.9;
2025-11-08T17:15:56+00:00;53.4;
2025-11-08T17:23:50+00:00;54.9;
2025-11-08T17:28:00+00:00;22.7;
2025-11-08T17:39:06+00:00;22.7;
2025-11-08T17:39:07+00:00;36.8;
2025-11-08T17:43:53+00:00;37.8;
2025-11-08T17:48:54+00:00;37.8;
2025-11-08T17:48:55+00:00;50.8;
2025-11-08T17:54:03+00:00;52.8;
2025-11-08T17:54:41+00:00;52.3;
2025-11-08T18:00:56+00:00;52.3;
2025-11-08T18:03:34+00:00;52.8;
2025-11-08T18:34:46+00:00;53.8;
2025-11-08T18:38:39+00:00;54.8;
2025-11-08T18:43:45+00:00;25.6;
2025-11-08T18:44:30+00:00;22.6;
2025-11-08T19:23:46+00:00;21.6;
2025-11-08T19:51:07+00:00;24.1;
2025-11-08T19:54:00+00:00;24.6;
2025-11-08T20:02:11+00:00;25.6;
2025-11-08T20:12:48+00:00;27.1;
2025-11-08T20:18:36+00:00;28.1;
2025-11-08T20:21:19+00:00;28.6;
2025-11-08T20:27:16+00:00;29.6;
2025-11-08T20:31:09+00:00;30.6;
2025-11-08T20:32:44+00:00;31.1;
2025-11-08T20:40:30+00:00;32.1;
2025-11-08T20:49:43+00:00;33.6;
2025-11-08T20:53:30+00:00;34.1;
2025-11-08T21:03:35+00:00;35.1;
2025-11-08T21:36:03+00:00;34.6;
2025-11-08T21:47:05+00:00;33.1;
2025-11-08T21:51:36+00:00;32.6;
2025-11-08T22:05:48+00:00;31.6;
2025-11-08T22:34:52+00:00;30.6;
2025-11-08T23:09:00+00:00;28.6;
