timestamp;[Con­denser (BT12)][°C][40017];
2025-11-24T09:29:23+00:00;48.7;
2025-11-24T09:32:17+00:00;49.2;
2025-11-24T09:35:35+00:00;49.7;
2025-11-24T09:48:33+00:00;50.2;
2025-11-24T09:50:58+00:00;50.7;
2025-11-24T09:53:12+00:00;51.2;
2025-11-24T09:55:17+00:00;51.7;
2025-11-24T09:57:45+00:00;52.2;
2025-11-24T10:00:29+00:00;29.4;
2025-11-24T10:01:48+00:00;29.4;
2025-11-24T10:06:46+00:00;29.9;
2025-11-24T10:09:32+00:00;30.4;
2025-11-24T10:12:16+00:00;30.9;
2025-11-24T10:14:40+00:00;31.4;
2025-11-24T10:17:00+00:00;31.9;
2025-11-24T10:19:10+00:00;32.4;
2025-11-24T10:21:20+00:00;32.9;
2025-11-24T10:24:08+00:00;33.4;
2025-11-24T10:26:17+00:00;33.9;
2025-11-24T10:28:54+00:00;34.4;
2025-11-24T10:31:23+00:00;34.9;
2025-11-24T10:34:43+00:00;35.4;
2025-11-24T10:39:01+00:00;35.9;
2025-11-24T10:44:15+00:00;36.4;
2025-11-24T10:49:31+00:00;31.1;
2025-11-24T10:51:54+00:00;30.6;
2025-11-24T10:53:04+00:00;30.1;
2025-11-24T10:54:23+00:00;29.6;
2025-11-24T10:56:13+00:00;29.1;
2025-11-24T10:57:03+00:00;36.3;
2025-11-24T11:00:11+00:00;35.8;
2025-11-24T11:05:01+00:00;36.3;
2025-11-24T11:08:35+00:00;36.8;
2025-11-24T11:13:13+00:00;37.3;
2025-11-24T11:20:23+00:00;37.8;
2025-11-24T11:42:06+00:00;37.3;
2025-11-24T11:49:28+00:00;36.8;
2025-11-24T11:52:51+00:00;36.3;
2025-11-24T11:58:07+00:00;35.8;
2025-11-24T12:04:43+00:00;35.3;
2025-11-24T12:10:52+00:00;34.8;
2025-11-24T12:16:49+00:00;34.3;
2025-11-24T12:26:38+00:00;33.8;
2025-11-24T12:36:49+00:00;33.3;
2025-11-24T13:45:19+00:00;33.8;
2025-11-24T14:02:37+00:00;33.8;
2025-11-24T14:02:38+00:00;50.6;
2025-11-24T14:05:34+00:00;53.1;
2025-11-24T14:07:52+00:00;53.6;
2025-11-24T14:12:48+00:00;54.1;
2025-11-24T14:14:50+00:00;29.1;
2025-11-24T14:18:09+00:00;28.6;
2025-11-24T14:19:56+00:00;28.1;
2025-11-24T14:23:00+00:00;28.1;
2025-11-24T14:23:01+00:00;41.4;
2025-11-24T14:25:22+00:00;41.4;
2025-11-24T14:25:23+00:00;54.4;
2025-11-24T14:27:27+00:00;54.9;
2025-11-24T14:28:52+00:00;55.4;
2025-11-24T14:30:33+00:00;55.9;
2025-11-24T14:31:59+00:00;56.4;
2025-11-24T14:34:37+00:00;56.9;
2025-11-24T14:38:05+00:00;32.7;
2025-11-24T14:38:16+00:00;32.2;
2025-11-24T14:47:01+00:00;32.7;
2025-11-24T14:51:15+00:00;33.2;
2025-11-24T14:54:54+00:00;33.7;
2025-11-24T14:58:00+00:00;34.2;
2025-11-24T15:01:46+00:00;34.7;
2025-11-24T15:04:25+00:00;35.2;
2025-11-24T15:08:12+00:00;35.7;
2025-11-24T15:14:18+00:00;36.2;
2025-11-24T15:20:31+00:00;36.7;
2025-11-24T15:22:41+00:00;36.2;
2025-11-24T15:52:03+00:00;36.7;
2025-11-24T16:11:05+00:00;36.2;
2025-11-24T16:14:54+00:00;31.7;
2025-11-24T16:17:03+00:00;31.2;
2025-11-24T16:18:37+00:00;30.7;
2025-11-24T16:20:10+00:00;30.2;
2025-11-24T16:22:45+00:00;34.4;
2025-11-24T16:31:36+00:00;33.9;
2025-11-24T16:51:23+00:00;29.8;
2025-11-24T16:53:35+00:00;29.3;
2025-11-24T16:55:29+00:00;28.8;
2025-11-24T16:58:50+00:00;28.8;
2025-11-24T16:58:51+00:00;38.7;
2025-11-24T17:04:11+00:00;38.7;
2025-11-24T17:04:12+00:00;44.2;
2025-11-24T17:08:53+00:00;44.2;
2025-11-24T17:08:54+00:00;53.7;
2025-11-24T17:09:47+00:00;53.2;
2025-11-24T17:14:06+00:00;53.7;
2025-11-24T17:16:28+00:00;53.2;
2025-11-24T17:24:15+00:00;52.7;
2025-11-24T17:29:00+00:00;52.2;
2025-11-24T17:33:02+00:00;53.2;
2025-11-24T17:39:25+00:00;54.2;
2025-11-24T17:42:35+00:00;53.2;
2025-11-24T17:44:30+00:00;53.7;
2025-11-24T17:46:31+00:00;53.2;
2025-11-24T17:47:55+00:00;53.2;
2025-11-24T17:50:58+00:00;52.7;
2025-11-24T17:55:29+00:00;53.2;
2025-11-24T17:58:57+00:00;53.2;
2025-11-24T18:01:18+00:00;52.7;
2025-11-24T18:04:03+00:00;38.7;
2025-11-24T18:05:30+00:00;23.9;
2025-11-24T18:13:53+00:00;23.9;
2025-11-24T18:13:54+00:00;41.4;
2025-11-24T18:18:54+00:00;41.4;
2025-11-24T18:18:55+00:00;52.4;
2025-11-24T18:19:29+00:00;52.9;
2025-11-24T18:20:47+00:00;53.4;
2025-11-24T18:21:52+00:00;53.9;
2025-11-24T18:23:24+00:00;53.9;
2025-11-24T18:46:50+00:00;54.4;
2025-11-24T18:49:30+00:00;54.9;
2025-11-24T18:50:57+00:00;55.4;
2025-11-24T18:54:03+00:00;55.9;
2025-11-24T18:55:43+00:00;56.4;
2025-11-24T18:59:50+00:00;44.8;
2025-11-24T19:02:37+00:00;28.9;
2025-11-24T19:05:26+00:00;29.4;
2025-11-24T19:10:40+00:00;29.9;
2025-11-24T19:17:25+00:00;30.4;
2025-11-24T19:24:39+00:00;30.9;
2025-11-24T19:30:27+00:00;31.4;
2025-11-24T19:35:36+00:00;31.9;
2025-11-24T19:40:21+00:00;32.4;
2025-11-24T19:43:34+00:00;32.9;
2025-11-24T19:47:32+00:00;33.4;
2025-11-24T19:50:25+00:00;33.9;
2025-11-24T19:53:34+00:00;34.4;
2025-11-24T19:56:49+00:00;34.9;
2025-11-24T19:59:59+00:00;35.4;
2025-11-24T20:04:01+00:00;35.9;
2025-11-24T20:07:37+00:00;36.4;
2025-11-24T20:10:45+00:00;36.9;
2025-11-24T20:13:46+00:00;37.4;
2025-11-24T20:20:27+00:00;37.9;
2025-11-24T20:25:52+00:00;38.4;
2025-11-24T20:36:11+00:00;38.9;
2025-11-24T20:43:40+00:00;32.3;
2025-11-24T20:45:09+00:00;31.8;
2025-11-24T20:46:23+00:00;31.3;
2025-11-24T20:47:53+00:00;30.8;
2025-11-24T20:50:22+00:00;35.7;
2025-11-24T20:50:46+00:00;38.4;
2025-11-24T20:52:02+00:00;36.9;
2025-11-24T20:53:20+00:00;37.4;
2025-11-24T20:59:28+00:00;37.9;
2025-11-24T21:05:25+00:00;38.4;
2025-11-24T21:14:53+00:00;38.9;
2025-11-24T21:28:00+00:00;39.4;
2025-11-24T21:43:05+00:00;39.9;
2025-11-24T21:59:51+00:00;33.8;
2025-11-24T22:00:51+00:00;33.3;
2025-11-24T22:03:06+00:00;32.8;
2025-11-24T22:04:25+00:00;32.3;
2025-11-24T22:06:17+00:00;32.3;
2025-11-24T22:06:18+00:00;39.5;
2025-11-24T22:07:27+00:00;39.0;
2025-11-24T22:09:00+00:00;38.5;
2025-11-24T22:10:17+00:00;39.0;
2025-11-24T22:21:31+00:00;39.5;
2025-11-24T22:25:39+00:00;40.0;
2025-11-24T22:36:06+00:00;40.5;
2025-11-24T22:41:50+00:00;41.0;
2025-11-24T22:58:07+00:00;42.0;
2025-11-24T23:01:13+00:00;42.5;
2025-11-24T23:02:14+00:00;42.0;
2025-11-24T23:07:02+00:00;42.5;
2025-11-24T23:07:30+00:00;44.0;
2025-11-24T23:09:05+00:00;44.5;
2025-11-24T23:11:46+00:00;42.0;
2025-11-24T23:12:35+00:00;41.5;
2025-11-24T23:15:50+00:00;33.2;
2025-11-24T23:18:32+00:00;32.7;
2025-11-24T23:22:08+00:00;32.7;
2025-11-24T23:22:09+00:00;40.2;
2025-11-24T23:23:02+00:00;39.7;
2025-11-24T23:24:47+00:00;38.2;
2025-11-24T23:26:49+00:00;37.7;
2025-11-24T23:28:34+00:00;38.2;
2025-11-24T23:33:39+00:00;38.7;
2025-11-24T23:38:53+00:00;39.2;
2025-11-25T00:00:14+00:00;39.7;
2025-11-25T00:34:45+00:00;33.8;
2025-11-25T00:36:51+00:00;33.3;
2025-11-25T00:38:51+00:00;32.8;
2025-11-25T00:42:04+00:00;32.8;
2025-11-25T00:42:05+00:00;38.9;
2025-11-25T00:43:18+00:00;38.4;
2025-11-25T00:54:59+00:00;38.9;
2025-11-25T00:57:20+00:00;39.4;
2025-11-25T01:18:27+00:00;39.9;
2025-11-25T01:28:56+00:00;40.4;
2025-11-25T01:41:06+00:00;40.9;
2025-11-25T01:50:26+00:00;41.4;
2025-11-25T02:03:24+00:00;36.2;
2025-11-25T02:04:09+00:00;35.7;
2025-11-25T02:07:25+00:00;35.2;
2025-11-25T02:11:05+00:00;35.2;
2025-11-25T02:11:06+00:00;41.5;
2025-11-25T02:12:30+00:00;41.0;
2025-11-25T02:24:44+00:00;41.5;
2025-11-25T02:25:49+00:00;42.0;
2025-11-25T02:36:06+00:00;42.5;
2025-11-25T02:47:08+00:00;43.0;
2025-11-25T03:00:54+00:00;43.5;
2025-11-25T03:25:46+00:00;37.7;
2025-11-25T03:27:13+00:00;37.2;
2025-11-25T03:29:48+00:00;36.7;
2025-11-25T03:33:08+00:00;36.7;
2025-11-25T03:33:09+00:00;43.6;
2025-11-25T03:34:45+00:00;42.6;
2025-11-25T03:47:21+00:00;43.1;
2025-11-25T03:48:28+00:00;43.6;
2025-11-25T03:58:37+00:00;44.1;
2025-11-25T04:03:44+00:00;44.1;
2025-11-25T04:03:45+00:00;52.9;
2025-11-25T04:04:33+00:00;53.4;
2025-11-25T04:07:47+00:00;54.9;
2025-11-25T04:09:00+00:00;55.4;
2025-11-25T04:11:08+00:00;56.4;
2025-11-25T04:12:26+00:00;56.9;
2025-11-25T04:14:13+00:00;56.9;
2025-11-25T04:17:06+00:00;39.3;
2025-11-25T04:20:37+00:00;39.8;
2025-11-25T04:21:50+00:00;40.3;
2025-11-25T04:25:11+00:00;40.8;
2025-11-25T04:27:34+00:00;41.3;
2025-11-25T04:29:33+00:00;41.8;
2025-11-25T04:35:40+00:00;42.3;
2025-11-25T04:41:32+00:00;42.8;
2025-11-25T04:52:26+00:00;36.8;
