timestamp;[Value air veloc­ity sensor (BS1)][][42782];
2025-11-24T10:05:54+00:00;198.9;
2025-11-24T10:08:11+00:00;200.9;
2025-11-24T10:09:24+00:00;199.9;
2025-11-24T10:10:36+00:00;198.9;
2025-11-24T10:12:50+00:00;199.9;
2025-11-24T10:14:08+00:00;200.9;
2025-11-24T10:15:36+00:00;199.9;
2025-11-24T10:16:16+00:00;198.9;
2025-11-24T10:19:09+00:00;197.9;
2025-11-24T10:20:36+00:00;198.9;
2025-11-24T10:21:16+00:00;196.9;
2025-11-24T10:24:27+00:00;196.9;
2025-11-24T10:26:33+00:00;195.9;
2025-11-24T10:30:56+00:00;191.7;
2025-11-24T10:31:47+00:00;193.7;
2025-11-24T10:34:42+00:00;191.7;
2025-11-24T10:36:32+00:00;190.7;
2025-11-24T10:37:36+00:00;189.7;
2025-11-24T10:39:47+00:00;187.7;
2025-11-24T10:42:46+00:00;186.7;
2025-11-24T10:43:52+00:00;185.7;
2025-11-24T10:45:19+00:00;183.7;
2025-11-24T10:47:53+00:00;181.7;
2025-11-24T10:51:07+00:00;181.7;
2025-11-24T10:51:08+00:00;199.0;
2025-11-24T10:52:28+00:00;200.0;
2025-11-24T10:56:22+00:00;200.0;
2025-11-24T10:59:31+00:00;202.0;
2025-11-24T11:02:52+00:00;202.0;
2025-11-24T11:04:40+00:00;202.0;
2025-11-24T11:09:54+00:00;200.0;
2025-11-24T11:11:29+00:00;202.0;
2025-11-24T11:12:23+00:00;200.0;
2025-11-24T11:15:15+00:00;201.0;
2025-11-24T11:17:04+00:00;200.0;
2025-11-24T11:19:40+00:00;201.0;
2025-11-24T11:21:28+00:00;200.0;
2025-11-24T11:23:42+00:00;199.0;
2025-11-24T11:25:37+00:00;201.0;
2025-11-24T11:28:11+00:00;198.0;
2025-11-24T11:31:14+00:00;200.0;
2025-11-24T11:33:21+00:00;200.0;
2025-11-24T11:36:16+00:00;202.0;
2025-11-24T11:37:34+00:00;201.0;
2025-11-24T11:39:15+00:00;202.0;
2025-11-24T11:42:58+00:00;203.0;
2025-11-24T11:45:31+00:00;203.0;
2025-11-24T11:47:10+00:00;202.0;
2025-11-24T11:49:04+00:00;202.0;
2025-11-24T11:55:03+00:00;201.0;
2025-11-24T11:58:02+00:00;201.0;
2025-11-24T12:05:37+00:00;200.0;
2025-11-24T12:07:23+00:00;201.0;
2025-11-24T12:08:55+00:00;201.0;
2025-11-24T12:10:12+00:00;200.0;
2025-11-24T12:14:15+00:00;200.0;
2025-11-24T12:15:36+00:00;199.0;
2025-11-24T12:20:42+00:00;200.0;
2025-11-24T12:23:05+00:00;200.0;
2025-11-24T12:25:56+00:00;200.0;
2025-11-24T12:28:41+00:00;198.0;
2025-11-24T12:30:07+00:00;199.0;
2025-11-24T12:31:27+00:00;198.0;
2025-11-24T12:36:38+00:00;199.0;
2025-11-24T12:38:28+00:00;198.0;
2025-11-24T12:40:35+00:00;198.0;
2025-11-24T12:42:26+00:00;198.0;
2025-11-24T12:44:27+00:00;197.0;
2025-11-24T12:49:03+00:00;198.0;
2025-11-24T12:53:00+00:00;197.0;
2025-11-24T12:54:08+00:00;198.0;
2025-11-24T12:55:15+00:00;197.0;
2025-11-24T12:57:18+00:00;196.0;
2025-11-24T12:58:57+00:00;198.0;
2025-11-24T13:01:49+00:00;196.0;
2025-11-24T13:02:30+00:00;195.0;
2025-11-24T13:05:53+00:00;196.0;
2025-11-24T13:10:20+00:00;196.0;
2025-11-24T13:14:40+00:00;195.0;
2025-11-24T13:15:51+00:00;196.0;
2025-11-24T13:17:59+00:00;194.0;
2025-11-24T13:21:04+00:00;196.0;
2025-11-24T13:23:33+00:00;195.0;
2025-11-24T13:24:49+00:00;194.0;
2025-11-24T13:26:59+00:00;195.0;
2025-11-24T13:27:59+00:00;194.0;
2025-11-24T13:32:12+00:00;193.0;
2025-11-24T13:32:25+00:00;194.0;
